keyword,locale,catalog,id,reference,name,regularPrice,campaignPrice,pricePerQuantity,quantity,brand,description,productUrl,imageUrl,eanUpcList,date,data
cogumelos marron,pt,continente,pt.continente.6921994,6921994,Cogumelo Marron Laminado Fresco Continente,,"1,69€","6,76€/kg",emb. 250 gr,Continente,,https://www.continente.pt/produto/cogumelo-marron-laminado-fresco-continente-continente-6921994.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw3ab4cf85/images/col/692/6921994_frente.jpg?sw=280&sh=280,,2026-03-23T09:56:15.973087675Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.6921736,6921736,Cogumelo Marron Fresco Continente,,"1,69€","5,63€/kg",emb. 300 gr,Continente,,https://www.continente.pt/produto/cogumelo-marron-fresco-continente-continente-6921736.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw14149519/images/col/692/6921736-frente.png?sw=280&sh=280,,2026-03-23T09:56:15.973087675Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.4987751,4987751,Cogumelo Marron Fresco Continente,"5,99€/kg",,"0,24€/un",Quant. Mínima = 240 gr (6 un),Continente,,https://www.continente.pt/produto/cogumelo-marron-fresco-continente-continente-4987751.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe0f52a7c/images/col/498/4987751-cima-granel.png?sw=280&sh=280,,2026-03-23T09:56:15.973087675Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.7559241,7559241,Cogumelo Marron Biológico Fresco Continente Bio,"1,99€",,"13,27€/kg",emb. 150 gr,Continente Bio,,https://www.continente.pt/produto/cogumelo-marron-biologico-fresco-continente-bio-continente-bio-7559241.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw15a4e038/images/col/755/7559241-frente.jpg?sw=280&sh=280,,2026-03-23T09:56:15.973087675Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.8161126,8161126,"Mix Cogumelos Brancos, Marron, Shimeji e Pleurothus Frescos",,"2,69€","13,45€/kg",emb. 200 gr,Continente,,https://www.continente.pt/produto/mix-cogumelos-brancos-marron-shimeji-e-pleurothus-frescos-continente-8161126.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw53db4488/images/col/816/8161126-topshot.jpg?sw=280&sh=280,,2026-03-23T09:56:15.973087675Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.7386356,7386356,"Mix Cogumelos Brancos, Marron, Shitake e Pleurothus Frescos Continente",,"2,69€","13,45€/kg",emb. 200 gr,Continente,,https://www.continente.pt/produto/mix-cogumelos-brancos-marron-shitake-e-pleurothus-frescos-continente-continente-7386356.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw316d1d65/images/col/738/7386356-topshot.png?sw=280&sh=280,,2026-03-23T09:56:15.973087675Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,pingo-doce,pt.pingo-doce.598150,598150,Cogumelos Laminados em Lata,1.19,,6.43 €/Kg,0.185 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/mercearia/conservas/cogumelos-e-outros-vegetais/cogumelos-laminados-em-lata-pingo-doce-598150.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dwf63184e1/images/medium/598150_3889fa89baab35846f07e9f1a52c799f.png?sw=198,,2026-03-23T09:56:15.619816071Z,"{'externalCategories': ['Mercearia', 'Conservas', 'Cogumelos e Outros Vegetais']}"
cogumelos marron,pt,pingo-doce,pt.pingo-doce.882947,882947,Cogumelos Branco Laminados Embalados,1.69,,6.76 €/Kg,0.25 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/frutas-e-vegetais/vegetais/cogumelos/cogumelos-branco-laminados-embalados-pingo-doce-882947.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dwecb2a6c3/images/medium/882947_4ed4c6a69c301528c1e19dfdf64c992e.png?sw=198,,2026-03-23T09:56:15.619816071Z,"{'externalCategories': ['Frutas e Vegetais', 'Vegetais', 'Cogumelos']}"
cogumelos marron,pt,pingo-doce,pt.pingo-doce.882932,882932,Cogumelos Brancos Inteiros Embalados,1.59,,5.3 €/Kg,0.3 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/frutas-e-vegetais/vegetais/cogumelos/cogumelos-brancos-inteiros-embalados-pingo-doce-882932.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw9c9dc935/images/medium/882932_969ba137e5426900b0ae3b07054a0f36.png?sw=198,,2026-03-23T09:56:15.619816071Z,"{'externalCategories': ['Frutas e Vegetais', 'Vegetais', 'Cogumelos']}"
cogumelos marron,pt,pingo-doce,pt.pingo-doce.882936,882936,Cogumelos Portobello Pequenos Embalados,1.99,,6.63 €/Kg,0.3 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/frutas-e-vegetais/vegetais/cogumelos/cogumelos-portobello-pequenos-embalados-pingo-doce-882936.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw333c798b/images/medium/882936_1fe06cbc7d8a4b1e5e27d6d0bc33e00e.png?sw=198,,2026-03-23T09:56:15.619816071Z,"{'externalCategories': ['Frutas e Vegetais', 'Vegetais', 'Cogumelos']}"
cogumelos marron,pt,pingo-doce,pt.pingo-doce.934099,934099,Cogumelos Laminados Congelados,0.99,,2.47 €/Kg,0.4 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/congelados/frutas-e-vegetais/vegetais-congelados/cogumelos-laminados-congelados-pingo-doce-934099.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw42db679f/images/medium/934099_39a2d778829d2f3acfcad883ac1a64f6.png?sw=198,,2026-03-23T09:56:15.619816071Z,"{'externalCategories': ['Congelados', 'Frutas e Vegetais', 'Vegetais Congelados']}"
cogumelos marron,pt,pingo-doce,pt.pingo-doce.638910,638910,Cogumelos Laminados em Lata Pack 3,2.19,,6.95 €/Kg,3 x0.105 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/mercearia/conservas/cogumelos-e-outros-vegetais/cogumelos-laminados-em-lata-pack-3-pingo-doce-638910.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw2c89e10f/images/medium/638910_e6b373bda5be66bd49e4966784b1585b.png?sw=198,,2026-03-23T09:56:15.619816071Z,"{'externalCategories': ['Mercearia', 'Conservas', 'Cogumelos e Outros Vegetais']}"
cogumelos marron,pt,pingo-doce,pt.pingo-doce.732517,732517,"Pizza Fresca de Queijo, Fiambre, Cogumelos e Azeitonas",2.69,,6.48 €/Kg,0.415 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/take-away/pizzas/pizza-fresca-de-queijo-fiambre-cogumelos-e-azeitonas-pingo-doce-732517.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw8c1b1cce/images/medium/732517_f590de5329f5ae5dfcd7bf91d907aeba.jpeg?sw=198,,2026-03-23T09:56:15.619816071Z,"{'externalCategories': ['Take Away', 'Pizzas']}"
