keyword,locale,catalog,id,reference,name,regularPrice,campaignPrice,pricePerQuantity,quantity,brand,description,productUrl,imageUrl,eanUpcList,date,data
manteiga de amendoim,pt,continente,pt.continente.8167238,8167238,Manteiga de Amendoim Cremosa Continente Equilíbrio,"2,49€",,"4,98€/kg",emb. 500 gr,Continente Equilíbrio,,https://www.continente.pt/produto/manteiga-de-amendoim-cremosa-continente-equilibrio-continente-equilibrio-8167238.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw25460cde/images/col/816/8167238-frente.png?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.8163576,8163576,Manteiga de Amendoim com Pedaços Continente Equilíbrio,"2,49€",,"4,98€/kg",emb. 500 gr,Continente Equilíbrio,,https://www.continente.pt/produto/manteiga-de-amendoim-com-pedacos-continente-equilibrio-continente-equilibrio-8163576.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw69cffb65/images/col/816/8163576-frente.png?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.6715879,6715879,Manteiga de Amendoim Crocante Prozis,"7,69€",,"7,69€/kg",emb. 1 kg,Prozis,,https://www.continente.pt/produto/manteiga-de-amendoim-crocante-prozis-prozis-6715879.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw660c913e/images/col/671/6715879-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Bio e Saudável', 'Nutrição Desportiva', 'Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.6403609,6403609,Manteiga de Amendoim Prozis,"7,69€",,"7,69€/kg",emb. 1 kg,Prozis,,https://www.continente.pt/produto/manteiga-de-amendoim-prozis-prozis-6403609.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw217234f9/images/col/640/6403609-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Bio e Saudável', 'Nutrição Desportiva', 'Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.6211747,6211747,Manteiga de Amendoim Crocante Prozis,"4,39€","3,95€","7,90€/kg",emb. 500 gr,Prozis,,https://www.continente.pt/produto/manteiga-de-amendoim-crocante-prozis-prozis-6211747.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw64f81493/images/col/621/6211747-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Bio e Saudável', 'Nutrição Desportiva', 'Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.7399738,7399738,Manteiga de Amendoim Cremosa Calvé,"3,79€",,"10,83€/kg",emb. 350 gr,Calvé,,https://www.continente.pt/produto/manteiga-de-amendoim-cremosa-calve-calve-7399738.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw22f48304/images/col/739/7399738-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.7399741,7399741,Manteiga de Amendoim Cremosa Calvé,"8,74€",,"8,74€/kg",emb. 1 kg,Calvé,,https://www.continente.pt/produto/manteiga-de-amendoim-cremosa-calve-calve-7399741.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw80e9d22b/images/col/739/7399741-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.8655873,8655873,Manteiga de Amendoim Cremosa Way Up,"4,99€",,"4,99€/kg",emb. 1 kg,Way Up,,https://www.continente.pt/produto/manteiga-de-amendoim-cremosa-way-up-way-up-8655873.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1395a3a0/images/col/865/8655873-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Bio e Saudável', 'Nutrição Desportiva', 'Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.7105463,7105463,Gelado Peanut Butter Cup Ben & Jerry's,"6,99€","4,99€","10,73€/lt",emb. 465 ml,Ben & Jerrys,,https://www.continente.pt/produto/gelado-peanut-butter-cup-ben-jerrys-ben-jerrys-7105463.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwaeb8bfaf/images/col/710/7105463-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Congelados', 'Gelados', 'Gelados Americanos']}"
manteiga de amendoim,pt,continente,pt.continente.2211103,2211103,Manteiga de Amendoim Cremosa sem Glúten Skippy,"3,79€",,"11,15€/kg",emb. 340 gr,Skippy,,https://www.continente.pt/produto/manteiga-de-amendoim-cremosa-sem-gluten-skippy-skippy-2211103.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwaf37a68d/images/col/221/2211103-cima.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.5684071,5684071,Manteiga de Amendoim Cremosa Prozis,"4,39€",,"8,78€/un",emb. 500 gr,Prozis,,https://www.continente.pt/produto/manteiga-de-amendoim-cremosa-prozis-prozis-5684071.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwb2425234/images/col/568/5684071-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Bio e Saudável', 'Nutrição Desportiva', 'Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.7622308,7622308,Gelado Caramelo e Manteiga de Amendoim com cobertura Chocolate Snickers,"5,99€","4,49€","16,63€/kg",emb. 270 gr (6 un),Snickers,,https://www.continente.pt/produto/gelado-caramelo-e-manteiga-de-amendoim-com-cobertura-chocolate-snickers-snickers-7622308.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4fe280dc/images/col/762/7622308-direito.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Congelados', 'Gelados', 'Mini Bites e Sandwich']}"
manteiga de amendoim,pt,continente,pt.continente.7399733,7399733,Manteiga de Amendoim com Pedaços Calvé,"3,79€",,"10,83€/kg",emb. 350 gr,Calvé,,https://www.continente.pt/produto/manteiga-de-amendoim-com-pedacos-calve-calve-7399733.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc0542f60/images/col/739/7399733-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.7182223,7182223,Iogurte Proteína Manteiga de Amendoim e Banana Yopro Danone,"1,78€","1,29€","8,06€/kg",emb. 160 gr,Yopro Danone,,https://www.continente.pt/produto/iogurte-proteina-manteiga-de-amendoim-e-banana-yopro-danone-yopro-danone-7182223.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw80bcbc7a/images/col/718/7182223-frente.png?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Laticínios e Ovos', 'Iogurtes', 'Iogurtes Proteína']}"
manteiga de amendoim,pt,continente,pt.continente.2211119,2211119,Manteiga de Amendoim Crocante sem Glúten Skippy,"3,79€",,"11,15€/kg",emb. 340 gr,Skippy,,https://www.continente.pt/produto/manteiga-de-amendoim-crocante-sem-gluten-skippy-skippy-2211119.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw619c1303/images/col/221/2211119-cima.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.8516701,8516701,Açaí Manteiga de Amendoim Oakberry,,"7,19€","15,20€/lt",emb. 473 ml,Oakberry,,https://www.continente.pt/produto/acai-manteiga-de-amendoim-oakberry-oakberry-8516701.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc2a56de4/images/col/851/8516701-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Congelados', 'Frutas e Legumes', 'Frutas']}"
manteiga de amendoim,pt,continente,pt.continente.6588803,6588803,Gelado Manteiga de Amendoim Crunch Häagen-Dazs,"7,99€","5,99€","13,02€/lt",emb. 460 ml,Häagen-Dazs,,https://www.continente.pt/produto/gelado-manteiga-de-amendoim-crunch-haagen-dazs-haagen-dazs-6588803.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf162c2cb/images/col/658/6588803-hero.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Congelados', 'Gelados', 'Gelados Americanos']}"
manteiga de amendoim,pt,continente,pt.continente.6814879,6814879,Manteiga de Amendoim sem Glúten Not Guilty,"3,99€",,"12,47€/kg",emb. 320 gr,Not Guilty,,https://www.continente.pt/produto/manteiga-de-amendoim-sem-gluten-not-guilty-not-guilty-6814879.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw64bce885/images/col/681/6814879-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.7096539,7096539,Manteiga de Amendoim Crunchy sem Glúten Origens Bio,"4,99€",,"14,68€/kg",emb. 340 gr,Origens Bio,,https://www.continente.pt/produto/manteiga-de-amendoim-crunchy-sem-gluten-origens-bio-origens-bio-7096539.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw327df42e/images/col/709/7096539-frente.png?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.8544723,8544723,Iogurte Líquido de Manteiga de Amendoim 00% Continente Equilíbrio,"1,39€",,"2,17€/kg",emb. 4 x 160 gr,Continente Equilíbrio,,https://www.continente.pt/produto/iogurte-liquido-de-manteiga-de-amendoim-00--continente-equilibrio-continente-equilibrio-8544723.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwef30ce23/images/col/854/8544723-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Laticínios e Ovos', 'Iogurtes', 'Iogurtes Líquidos']}"
manteiga de amendoim,pt,continente,pt.continente.8503528,8503528,Manteiga de Amendoim Biológica Continente,"2,89€",,"8,50€/kg",emb. 340 gr,Continente,,https://www.continente.pt/produto/manteiga-de-amendoim-biologica-continente-continente-8503528.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe118ae35/images/col/850/8503528-frente.png?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
manteiga de amendoim,pt,continente,pt.continente.8112342,8112342,Manteiga de Amendoim Cremosa sem Açúcar Skippy,"3,78€",,"11,12€/kg",emb. 340 gr,Skippy,,https://www.continente.pt/produto/manteiga-de-amendoim-cremosa-sem-acucar-skippy-skippy-8112342.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw0ae4af84/images/col/811/8112342-frente.jpg?sw=280&sh=280,,2026-04-06T10:02:35.122747134Z,"{'externalCategories': ['Mercearia', 'Compotas, Cremes e Mel', 'Nutella e Cremes de Barrar']}"
