keyword,locale,catalog,id,reference,name,regularPrice,campaignPrice,pricePerQuantity,quantity,brand,description,productUrl,imageUrl,eanUpcList,date,data
manteiga de amendoim,pt,continente,pt.continente.8167238,8167238,Manteiga de Amendoim Cremosa Continente Equilíbrio,,,"4,98€/kg",emb. 500 gr,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw25460cde/images/col/816/8167238-frente.png?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.6403609,6403609,Manteiga de Amendoim Prozis,,,"6,92€/kg",emb. 1 kg,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw332aa213/images/col/640/6403609-frente.jpg?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.6715879,6715879,Manteiga de Amendoim Crocante Prozis,,,"6,92€/kg",emb. 1 kg,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dweb23fc7a/images/col/671/6715879-frente.jpg?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.8163576,8163576,Manteiga de Amendoim com Pedaços Continente Equilíbrio,,,"4,98€/kg",emb. 500 gr,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw69cffb65/images/col/816/8163576-frente.png?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.6211747,6211747,Manteiga de Amendoim Crocante Prozis,,,"7,90€/kg",emb. 500 gr,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd93f1b59/images/col/621/6211747-frente.jpg?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.5684071,5684071,Manteiga de Amendoim Cremosa Prozis,,,"7,90€/un",emb. 500 gr,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw0deca455/images/col/568/5684071-frente.png?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.7105463,7105463,Gelado Peanut Butter Cup Ben & Jerry's,,,"10,73€/lt",emb. 465 ml,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwaeb8bfaf/images/col/710/7105463-frente.jpg?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.7622308,7622308,Gelado Caramelo e Manteiga de Amendoim com cobertura Chocolate Snickers,,,"22,19€/kg",emb. 270 gr (6 un),,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4fe280dc/images/col/762/7622308-direito.jpg?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.8655873,8655873,Manteiga de Amendoim Cremosa Way Up,,,"4,99€/kg",emb. 1 kg,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1395a3a0/images/col/865/8655873-frente.jpg?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
manteiga de amendoim,pt,continente,pt.continente.7399741,7399741,Manteiga de Amendoim Cremosa Calvé,,,"5,69€/kg",emb. 1 kg,,,,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw80e9d22b/images/col/739/7399741-frente.jpg?sw=280&sh=280,,2026-02-28T09:19:31.618499620Z,
