keyword,locale,catalog,id,reference,name,regularPrice,campaignPrice,pricePerQuantity,quantity,brand,description,productUrl,imageUrl,eanUpcList,date,data
cogumelos marron,pt,pingo-doce,pt.pingo-doce.976438,976438,Cogumelos Marron Laminados,1.99,,7.96 €/Kg,0.25 Kg,Nossa Fruta e Legumes,,https://www.pingodoce.pt/home/produtos/frutas-e-vegetais/vegetais/cogumelos/cogumelos-marron-laminados-nossa-fruta-e-legumes-976438.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dwdbaa1536/images/medium/976438_1_036bd79dd899face41f237feb4eee921.png?sw=198,,2026-06-22T14:29:08.370770698Z,"{'externalCategories': ['Frutas e Vegetais', 'Vegetais', 'Cogumelos']}"
cogumelos marron,pt,continente,pt.continente.6921736,6921736,Cogumelo Marron Fresco Continente,"1,89€",,"6,30€/kg",emb. 300 gr,Continente,,https://www.continente.pt/produto/cogumelo-marron-fresco-continente-continente-6921736.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw14149519/images/col/692/6921736-frente.png?sw=280&sh=280,,2026-06-22T14:29:09.128652692Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.4987751,4987751,Cogumelo Marron Fresco Continente,"5,99€/kg",,"0,24€/un",Quant. Mínima = 240 gr (6 un),Continente,,https://www.continente.pt/produto/cogumelo-marron-fresco-continente-continente-4987751.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe0f52a7c/images/col/498/4987751-cima-granel.png?sw=280&sh=280,,2026-06-22T14:29:09.128652692Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.6921994,6921994,Cogumelo Marron Laminado Fresco Continente,"1,99€",,"7,96€/kg",emb. 250 gr,Continente,,https://www.continente.pt/produto/cogumelo-marron-laminado-fresco-continente-continente-6921994.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw3ab4cf85/images/col/692/6921994_frente.jpg?sw=280&sh=280,,2026-06-22T14:29:09.128652692Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.8773548,8773548,Cogumelos Marron Laminados em Lata Compal,"1,69€","1,34€","4,62€/kg",emb. 290 gr,Compal,,https://www.continente.pt/produto/cogumelos-marron-laminados-em-lata-compal-compal-8773548.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw54862949/images/col/877/8773548-frente.jpg?sw=280&sh=280,,2026-06-22T14:29:09.128652692Z,"{'externalCategories': ['Mercearia', 'Conservas', 'Cogumelos, Milho, Ervilhas']}"
cogumelos marron,pt,continente,pt.continente.7559241,7559241,Cogumelo Marron Biológico Fresco Continente Bio,"1,99€",,"13,27€/kg",emb. 150 gr,Continente Bio,,https://www.continente.pt/produto/cogumelo-marron-biologico-fresco-continente-bio-continente-bio-7559241.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw15a4e038/images/col/755/7559241-frente.jpg?sw=280&sh=280,,2026-06-22T14:29:09.128652692Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.8161042,8161042,"Mix Cogumelos Marron, Shimaje e Pleurothus Frescos Continente","2,99€",,"14,95€/kg",emb. 200 gr,Continente,,https://www.continente.pt/produto/mix-cogumelos-marron-shimaje-e-pleurothus-frescos-continente-continente-8161042.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw83315d4d/images/col/816/8161042-topshot.jpg?sw=280&sh=280,,2026-06-22T14:29:09.128652692Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,continente,pt.continente.8161126,8161126,"Mix Cogumelos Brancos, Marron, Shimeji e Pleurothus Frescos Continente","2,99€",,"14,95€/kg",emb. 200 gr,Continente,,https://www.continente.pt/produto/mix-cogumelos-brancos-marron-shimeji-e-pleurothus-frescos-continente-continente-8161126.html,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw53db4488/images/col/816/8161126-topshot.jpg?sw=280&sh=280,,2026-06-22T14:29:09.128652692Z,"{'externalCategories': ['Frescos', 'Legumes', 'Cogumelos, Espargos e Exóticos']}"
cogumelos marron,pt,auchan,pt.auchan.2460929,2460929,cogumelos marron auchan cultivamos o bom 250 g,"1,59 €",,6.36 €/Kg,,,,https://www.auchan.pt/pt/produtos-frescos/legumes/cogumelos/cogumelos-marron-auchan-cultivamos-o-bom-250-g/2460929.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw549352b9/images/hi-res/002460929.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2026-06-22T14:29:09.425066502Z,
cogumelos marron,pt,auchan,pt.auchan.3442172,3442172,cogumelo marron laminado 250 g,"1,99 €",,7.96 €/Kg,,,,https://www.auchan.pt/pt/produtos-frescos/legumes/cogumelos/cogumelo-marron-laminado-250-g/3442172.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw95412d24/images/hi-res/003442172.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2026-06-22T14:29:09.425066502Z,
cogumelos marron,pt,auchan,pt.auchan.585156,585156,cogumelos marron kg,"5,99 € /Kg",,Quant. Mínima = 200g (1 un) 1.20 €/un,,,,https://www.auchan.pt/pt/produtos-frescos/legumes/cogumelos/cogumelos-marron-kg/585156.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw7997ed95/images/hi-res/000585156.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2026-06-22T14:29:09.425066502Z,
cogumelos marron,pt,auchan,pt.auchan.3966814,3966814,mix cogumelos branco marron cuga 250 g,"1,89 €",,7.56 €/Kg,,,,https://www.auchan.pt/pt/produtos-frescos/legumes/cogumelos/mix-cogumelos-branco-marron-cuga-250-g/3966814.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw8e7247d4/images/hi-res/003966814.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2026-06-22T14:29:09.425066502Z,
cogumelos marron,pt,auchan,pt.auchan.3705231,3705231,mistura de cogumelo marron laminado e espargo 200 g,"2,99 €",,14.95 €/Kg,,,,https://www.auchan.pt/pt/produtos-frescos/legumes/cogumelos/mistura-de-cogumelo-marron-laminado-e-espargo-200-g/3705231.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw0a4b29d2/images/hi-res/003705231.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2026-06-22T14:29:09.425066502Z,
